time,gFx,gFy,gFz,TgF
1.191000,-0.0558,0.9998,-0.0103,1.001
1.192000,-0.0558,1.0004,-0.0101,1.002
1.193000,-0.0548,1.0004,-0.0105,1.002
1.193000,-0.0542,1.0000,-0.0112,1.002
1.194000,-0.0538,1.0007,-0.0126,1.002
1.194000,-0.0538,1.0005,-0.0129,1.002
1.194000,-0.0545,1.0007,-0.0138,1.002
1.198000,-0.0554,1.0014,-0.0132,1.003
1.202000,-0.0558,1.0011,-0.0133,1.003
1.202000,-0.0564,1.0013,-0.0132,1.003
1.203000,-0.0575,1.0011,-0.0121,1.003
1.204000,-0.0581,1.0009,-0.0105,1.003
1.206000,-0.0586,1.0003,-0.0089,1.002
1.208000,-0.0592,1.0005,-0.0078,1.002
1.213000,-0.0606,1.0006,-0.0064,1.002
1.214000,-0.0602,1.0005,-0.0047,1.002
1.215000,-0.0598,1.0012,-0.0029,1.003
1.216000,-0.0594,1.0014,-0.0018,1.003
1.221000,-0.0583,1.0013,-0.0001,1.003
1.221000,-0.0583,1.0016,0.0007,1.003
1.222000,-0.0592,1.0018,0.0020,1.004
1.224000,-0.0607,1.0026,0.0040,1.004
1.226000,-0.0615,1.0029,0.0050,1.005
1.229000,-0.0620,1.0033,0.0061,1.005
1.231000,-0.0643,1.0032,0.0072,1.005
1.232000,-0.0659,1.0032,0.0072,1.005
1.234000,-0.0674,1.0029,0.0071,1.005
1.236000,-0.0693,1.0020,0.0071,1.004
1.238000,-0.0696,1.0026,0.0064,1.005
1.240000,-0.0689,1.0023,0.0055,1.005
1.242000,-0.0691,1.0025,0.0038,1.005
1.247000,-0.0688,1.0023,0.0015,1.005
1.248000,-0.0688,1.0025,-0.0020,1.005
1.248000,-0.0679,1.0024,-0.0043,1.005
1.249000,-0.0684,1.0023,-0.0074,1.005
1.252000,-0.0686,1.0021,-0.0091,1.004
1.254000,-0.0685,1.0017,-0.0120,1.004
1.256000,-0.0675,1.0013,-0.0149,1.004
1.258000,-0.0667,1.0011,-0.0171,1.003
1.260000,-0.0645,1.0011,-0.0180,1.003
1.263000,-0.0626,1.0012,-0.0184,1.003
1.264000,-0.0610,1.0012,-0.0179,1.003
1.266000,-0.0599,1.0011,-0.0160,1.003
1.267000,-0.0590,1.0000,-0.0140,1.002
1.270000,-0.0576,0.9995,-0.0122,1.001
1.272000,-0.0562,0.9996,-0.0113,1.001
1.274000,-0.0560,0.9999,-0.0103,1.002
1.275000,-0.0558,1.0007,-0.0097,1.002
1.281000,-0.0562,1.0009,-0.0104,1.002
1.285000,-0.0572,1.0016,-0.0106,1.003
1.286000,-0.0583,1.0020,-0.0111,1.004
1.287000,-0.0597,1.0026,-0.0110,1.004
1.287000,-0.0610,1.0023,-0.0101,1.004
1.288000,-0.0635,1.0024,-0.0086,1.004
1.290000,-0.0657,1.0026,-0.0068,1.005
1.292000,-0.0674,1.0029,-0.0047,1.005
1.300000,-0.0674,1.0028,-0.0042,1.005
1.307000,-0.0685,1.0024,-0.0046,1.005
1.308000,-0.0686,1.0022,-0.0056,1.005
1.308000,-0.0694,1.0029,-0.0066,1.005
1.308000,-0.0698,1.0035,-0.0079,1.006
1.309000,-0.0701,1.0029,-0.0094,1.005
1.309000,-0.0718,1.0022,-0.0102,1.005
1.309000,-0.0732,1.0023,-0.0100,1.005
1.310000,-0.0746,1.0025,-0.0083,1.005
1.312000,-0.0761,1.0025,-0.0061,1.005
1.314000,-0.0774,1.0029,-0.0038,1.006
1.315000,-0.0781,1.0034,-0.0028,1.006
1.318000,-0.0783,1.0034,-0.0024,1.006
1.320000,-0.0785,1.0036,-0.0032,1.007
1.322000,-0.0787,1.0032,-0.0040,1.006
1.324000,-0.0791,1.0031,-0.0050,1.006
1.326000,-0.0805,1.0027,-0.0061,1.006
1.330000,-0.0813,1.0030,-0.0050,1.006
1.331000,-0.0822,1.0030,-0.0031,1.006
1.332000,-0.0822,1.0029,-0.0015,1.006
1.334000,-0.0820,1.0026,-0.0007,1.006
1.335000,-0.0820,1.0034,0.0001,1.007
1.338000,-0.0812,1.0027,0.0011,1.006
1.340000,-0.0802,1.0032,0.0016,1.006
1.341000,-0.0788,1.0033,0.0023,1.006
1.346000,-0.0789,1.0034,0.0027,1.007
1.347000,-0.0792,1.0043,0.0022,1.007
1.348000,-0.0804,1.0043,0.0020,1.007
1.349000,-0.0812,1.0039,0.0023,1.007
1.351000,-0.0835,1.0038,0.0026,1.007
1.353000,-0.0851,1.0035,0.0030,1.007
1.356000,-0.0849,1.0036,0.0035,1.007
1.357000,-0.0848,1.0034,0.0034,1.007
1.359000,-0.0853,1.0033,0.0040,1.007
1.366000,-0.0850,1.0028,0.0041,1.006
1.367000,-0.0846,1.0026,0.0045,1.006
1.367000,-0.0826,1.0026,0.0052,1.006
1.368000,-0.0817,1.0029,0.0058,1.006
1.370000,-0.0807,1.0035,0.0069,1.007
1.372000,-0.0800,1.0038,0.0076,1.007
1.374000,-0.0796,1.0040,0.0076,1.007
1.376000,-0.0793,1.0039,0.0080,1.007
1.379000,-0.0799,1.0039,0.0079,1.007
1.381000,-0.0804,1.0043,0.0073,1.008
1.382000,-0.0804,1.0043,0.0074,1.008
1.386000,-0.0805,1.0045,0.0077,1.008
1.386000,-0.0805,1.0043,0.0075,1.008
1.388000,-0.0801,1.0038,0.0073,1.007
1.390000,-0.0789,1.0031,0.0075,1.006
1.391000,-0.0787,1.0033,0.0072,1.006
1.394000,-0.0782,1.0035,0.0061,1.007
1.397000,-0.0777,1.0034,0.0048,1.006
1.398000,-0.0766,1.0029,0.0035,1.006
1.400000,-0.0755,1.0018,0.0023,1.005
1.402000,-0.0746,1.0016,0.0004,1.004
1.404000,-0.0723,1.0019,-0.0007,1.005
1.409000,-0.0700,1.0019,-0.0011,1.004
1.410000,-0.0686,1.0010,-0.0017,1.003
1.410000,-0.0666,1.0012,-0.0032,1.003
1.413000,-0.0658,1.0014,-0.0047,1.004
1.415000,-0.0642,1.0011,-0.0063,1.003
1.415000,-0.0616,1.0018,-0.0069,1.004
1.417000,-0.0610,1.0021,-0.0078,1.004
1.420000,-0.0601,1.0022,-0.0090,1.004
1.422000,-0.0591,1.0025,-0.0100,1.004
1.424000,-0.0595,1.0023,-0.0106,1.004
1.425000,-0.0604,1.0021,-0.0116,1.004
1.430000,-0.0606,1.0019,-0.0111,1.004
1.430000,-0.0615,1.0010,-0.0103,1.003
1.432000,-0.0626,1.0013,-0.0099,1.003
1.434000,-0.0630,1.0020,-0.0083,1.004
1.435000,-0.0627,1.0022,-0.0069,1.004
1.437000,-0.0626,1.0028,-0.0062,1.005
1.440000,-0.0637,1.0028,-0.0062,1.005
1.441000,-0.0644,1.0027,-0.0055,1.005
1.443000,-0.0630,1.0021,-0.0059,1.004
1.446000,-0.0636,1.0025,-0.0070,1.005
1.448000,-0.0642,1.0027,-0.0078,1.005
1.449000,-0.0644,1.0019,-0.0080,1.004
1.452000,-0.0651,1.0012,-0.0084,1.003
1.454000,-0.0656,1.0011,-0.0086,1.003
1.455000,-0.0698,1.0015,-0.0082,1.004
1.457000,-0.0748,1.0012,-0.0067,1.004
1.459000,-0.0769,1.0014,-0.0038,1.004
1.465000,-0.0802,1.0007,-0.0020,1.004
1.466000,-0.0821,1.0011,0.0002,1.004
1.466000,-0.0834,1.0021,0.0025,1.006
1.468000,-0.0837,1.0025,0.0043,1.006
1.470000,-0.0831,1.0037,0.0046,1.007
1.472000,-0.0815,1.0036,0.0035,1.007
1.474000,-0.0794,1.0025,0.0030,1.006
1.475000,-0.0778,1.0013,0.0025,1.004
1.485000,-0.0759,1.0006,0.0009,1.004
1.485000,-0.0739,1.0005,0.0001,1.003
1.485000,-0.0723,1.0007,-0.0011,1.003
1.486000,-0.0705,1.0004,-0.0028,1.003
1.486000,-0.0685,1.0018,-0.0047,1.004
1.488000,-0.0656,1.0023,-0.0059,1.004
1.490000,-0.0624,1.0016,-0.0071,1.004
1.492000,-0.0599,1.0018,-0.0087,1.004
1.494000,-0.0576,1.0017,-0.0104,1.003
1.496000,-0.0559,1.0010,-0.0121,1.003
1.497000,-0.0554,1.0009,-0.0131,1.003
1.499000,-0.0549,1.0011,-0.0153,1.003
1.502000,-0.0547,1.0013,-0.0171,1.003
1.503000,-0.0534,1.0011,-0.0180,1.003
1.505000,-0.0532,1.0017,-0.0181,1.003
1.507000,-0.0533,1.0020,-0.0172,1.004
1.509000,-0.0546,1.0021,-0.0166,1.004
1.515000,-0.0559,1.0034,-0.0152,1.005
1.516000,-0.0572,1.0037,-0.0139,1.005
1.516000,-0.0587,1.0035,-0.0132,1.005
1.517000,-0.0598,1.0041,-0.0131,1.006
1.521000,-0.0603,1.0042,-0.0127,1.006
1.521000,-0.0608,1.0044,-0.0129,1.006
1.524000,-0.0618,1.0040,-0.0130,1.006
1.526000,-0.0626,1.0037,-0.0130,1.006
1.527000,-0.0634,1.0041,-0.0120,1.006
1.530000,-0.0645,1.0046,-0.0115,1.007
1.533000,-0.0651,1.0046,-0.0110,1.007
1.533000,-0.0660,1.0039,-0.0095,1.006
1.536000,-0.0662,1.0025,-0.0078,1.005
1.538000,-0.0656,1.0024,-0.0081,1.005
1.539000,-0.0633,1.0030,-0.0079,1.005
1.541000,-0.0616,1.0032,-0.0077,1.005
1.543000,-0.0603,1.0036,-0.0089,1.005
1.546000,-0.0586,1.0034,-0.0096,1.005
1.548000,-0.0566,1.0032,-0.0097,1.005
1.549000,-0.0554,1.0026,-0.0090,1.004
1.551000,-0.0552,1.0026,-0.0091,1.004
1.554000,-0.0550,1.0021,-0.0101,1.004
1.555000,-0.0544,1.0024,-0.0108,1.004
1.557000,-0.0520,1.0038,-0.0148,1.005
1.559000,-0.0471,1.0045,-0.0269,1.006
1.564000,-0.0423,1.0040,-0.0275,1.005
1.564000,-0.0430,1.0027,-0.0151,1.004
1.566000,-0.0468,1.0007,-0.0051,1.002
1.568000,-0.0513,0.9997,-0.0008,1.001
1.570000,-0.0544,0.9997,-0.0007,1.001
1.572000,-0.0544,0.9997,-0.0045,1.001
1.574000,-0.0531,1.0012,-0.0114,1.003
1.575000,-0.0521,1.0028,-0.0186,1.004
1.577000,-0.0495,1.0036,-0.0250,1.005
1.580000,-0.0464,1.0031,-0.0294,1.005
1.582000,-0.0428,1.0026,-0.0304,1.004
1.583000,-0.0405,1.0022,-0.0271,1.003
1.585000,-0.0371,1.0007,-0.0215,1.002
1.587000,-0.0341,0.9985,-0.0170,0.999
1.589000,-0.0304,0.9968,-0.0129,0.997
1.591000,-0.0258,0.9961,-0.0105,0.996
1.593000,-0.0222,0.9950,-0.0103,0.995
1.597000,-0.0191,0.9936,-0.0126,0.994
1.598000,-0.0167,0.9928,-0.0147,0.993
1.599000,-0.0143,0.9934,-0.0155,0.994
1.603000,-0.0135,0.9945,-0.0163,0.995
1.603000,-0.0131,0.9948,-0.0174,0.995
1.606000,-0.0117,0.9955,-0.0165,0.996
1.607000,-0.0107,0.9956,-0.0156,0.996
1.609000,-0.0095,0.9954,-0.0157,0.996
1.611000,-0.0093,0.9960,-0.0162,0.996
1.614000,-0.0086,0.9962,-0.0167,0.996
1.617000,-0.0067,0.9962,-0.0182,0.996
1.617000,-0.0062,0.9962,-0.0198,0.996
1.620000,-0.0060,0.9960,-0.0206,0.996
1.622000,-0.0060,0.9951,-0.0233,0.995
1.623000,-0.0053,0.9947,-0.0270,0.995
1.625000,-0.0042,0.9942,-0.0309,0.995
1.627000,-0.0028,0.9934,-0.0326,0.994
1.633000,-0.0028,0.9936,-0.0331,0.994
1.633000,-0.0028,0.9955,-0.0326,0.996
1.634000,-0.0026,0.9967,-0.0313,0.997
1.637000,-0.0035,0.9977,-0.0315,0.998
1.637000,-0.0039,0.9998,-0.0314,1.000
1.640000,-0.0054,1.0008,-0.0317,1.001
1.641000,-0.0078,1.0009,-0.0329,1.002
1.643000,-0.0097,1.0016,-0.0350,1.002
1.647000,-0.0112,1.0015,-0.0368,1.002
1.648000,-0.0130,1.0006,-0.0377,1.001
1.649000,-0.0148,0.9993,-0.0380,1.000
1.651000,-0.0176,0.9987,-0.0384,1.000
1.654000,-0.0208,0.9988,-0.0390,1.000
1.655000,-0.0228,0.9992,-0.0399,1.000
1.657000,-0.0251,0.9992,-0.0411,1.000
1.659000,-0.0277,0.9998,-0.0417,1.001
1.661000,-0.0298,1.0008,-0.0412,1.002
1.664000,-0.0296,1.0010,-0.0400,1.002
1.666000,-0.0300,1.0012,-0.0398,1.002
1.667000,-0.0301,1.0027,-0.0387,1.004
1.669000,-0.0293,1.0036,-0.0368,1.005
1.672000,-0.0292,1.0043,-0.0365,1.005
1.673000,-0.0292,1.0042,-0.0361,1.005
1.675000,-0.0294,1.0036,-0.0369,1.005
1.677000,-0.0281,1.0036,-0.0394,1.005
1.681000,-0.0270,1.0034,-0.0422,1.005
1.682000,-0.0281,1.0028,-0.0442,1.004
1.684000,-0.0295,1.0027,-0.0463,1.004
1.685000,-0.0338,1.0032,-0.0490,1.005
1.688000,-0.0408,1.0047,-0.0501,1.007
1.690000,-0.0514,1.0064,-0.0497,1.009
1.691000,-0.0630,1.0074,-0.0478,1.011
1.693000,-0.0755,1.0083,-0.0442,1.012
1.695000,-0.0861,1.0098,-0.0397,1.014
1.698000,-0.0944,1.0098,-0.0353,1.015
1.700000,-0.0985,1.0094,-0.0314,1.015
1.701000,-0.1012,1.0084,-0.0281,1.014
1.704000,-0.1036,1.0065,-0.0263,1.012
1.706000,-0.1054,1.0050,-0.0246,1.011
1.707000,-0.1084,1.0042,-0.0243,1.010
1.709000,-0.1127,1.0034,-0.0227,1.010
1.711000,-0.1162,1.0032,-0.0196,1.010
1.715000,-0.1186,1.0040,-0.0154,1.011
1.716000,-0.1205,1.0039,-0.0095,1.011
1.717000,-0.1216,1.0033,-0.0031,1.011
1.719000,-0.1215,1.0036,0.0015,1.011
1.722000,-0.1194,1.0054,0.0042,1.012
1.724000,-0.1164,1.0062,0.0052,1.013
1.725000,-0.1117,1.0059,0.0048,1.012
1.727000,-0.1058,1.0060,0.0033,1.012
1.732000,-0.0995,1.0063,0.0012,1.011
1.733000,-0.0928,1.0068,-0.0002,1.011
1.734000,-0.0865,1.0062,-0.0010,1.010
1.735000,-0.0802,1.0050,-0.0027,1.008
1.737000,-0.0746,1.0041,-0.0031,1.007
1.739000,-0.0697,1.0047,-0.0037,1.007
1.742000,-0.0675,1.0048,-0.0037,1.007
1.743000,-0.0633,1.0044,-0.0038,1.006
1.746000,-0.0582,1.0042,-0.0041,1.006
1.749000,-0.0539,1.0038,-0.0054,1.005
1.750000,-0.0506,1.0040,-0.0072,1.005
1.753000,-0.0480,1.0046,-0.0101,1.006
1.754000,-0.0463,1.0049,-0.0132,1.006
1.755000,-0.0442,1.0055,-0.0175,1.007
1.758000,-0.0429,1.0054,-0.0211,1.007
1.759000,-0.0414,1.0050,-0.0159,1.006
1.761000,-0.0403,1.0043,-0.0246,1.005
1.764000,-0.0418,1.0040,-0.0400,1.006
1.766000,-0.0449,1.0049,-0.0433,1.007
1.768000,-0.0466,1.0047,-0.0431,1.007
1.770000,-0.0469,1.0047,-0.0448,1.007
1.772000,-0.0478,1.0041,-0.0448,1.006
1.774000,-0.0497,1.0033,-0.0409,1.005
1.775000,-0.0515,1.0032,-0.0346,1.005
1.777000,-0.0534,1.0032,-0.0295,1.005
1.782000,-0.0534,1.0030,-0.0271,1.005
1.784000,-0.0521,1.0028,-0.0235,1.004
1.784000,-0.0542,1.0027,-0.0169,1.004
1.786000,-0.0627,1.0030,-0.0137,1.005
1.787000,-0.0749,1.0027,-0.0182,1.006
1.790000,-0.0880,1.0016,-0.0216,1.006
1.791000,-0.1020,1.0013,-0.0191,1.007
1.793000,-0.1177,0.9997,-0.0137,1.007
1.795000,-0.1314,0.9988,-0.0082,1.007
1.801000,-0.1406,0.9995,-0.0024,1.009
1.802000,-0.1447,1.0013,0.0053,1.012
1.803000,-0.1433,1.0026,0.0108,1.013
1.804000,-0.1389,1.0028,0.0144,1.012
1.806000,-0.1347,1.0030,0.0164,1.012
1.808000,-0.1281,1.0031,0.0177,1.011
1.809000,-0.1218,1.0036,0.0185,1.011
1.811000,-0.1161,1.0042,0.0185,1.011
1.816000,-0.1112,1.0048,0.0189,1.011
1.817000,-0.1073,1.0042,0.0211,1.010
1.818000,-0.1025,1.0038,0.0237,1.009
1.820000,-0.0977,1.0035,0.0262,1.009
1.823000,-0.0926,1.0033,0.0275,1.008
1.824000,-0.0856,1.0027,0.0286,1.007
1.826000,-0.0804,1.0025,0.0295,1.006
1.827000,-0.0759,1.0012,0.0294,1.004
1.829000,-0.0703,1.0009,0.0288,1.004
1.832000,-0.0665,1.0018,0.0269,1.004
1.834000,-0.0646,1.0023,0.0248,1.005
1.836000,-0.0624,1.0034,0.0222,1.006
1.838000,-0.0597,1.0043,0.0201,1.006
1.840000,-0.0593,1.0057,0.0195,1.008
1.841000,-0.0595,1.0063,0.0184,1.008
1.843000,-0.0611,1.0062,0.0154,1.008
1.845000,-0.0621,1.0057,0.0111,1.008
1.849000,-0.0629,1.0062,0.0069,1.008
1.850000,-0.0637,1.0058,0.0035,1.008
1.852000,-0.0631,1.0048,0.0004,1.007
1.854000,-0.0643,1.0036,-0.0023,1.006
1.856000,-0.0652,1.0056,-0.0047,1.008
1.858000,-0.0676,1.0055,-0.0059,1.008
1.859000,-0.0675,1.0038,-0.0065,1.006
1.861000,-0.0658,1.0048,-0.0059,1.007
1.866000,-0.0662,1.0059,-0.0052,1.008
1.866000,-0.0674,1.0065,-0.0041,1.009
1.868000,-0.0639,1.0066,-0.0033,1.009
1.870000,-0.0580,1.0058,-0.0034,1.007
1.872000,-0.0528,1.0043,-0.0042,1.006
1.874000,-0.0471,1.0025,-0.0058,1.004
1.875000,-0.0399,1.0008,-0.0069,1.002
1.877000,-0.0352,0.9998,-0.0083,1.000
1.879000,-0.0324,0.9998,-0.0093,1.000
1.883000,-0.0306,0.9994,-0.0103,1.000
1.885000,-0.0293,0.9995,-0.0135,1.000
1.885000,-0.0294,1.0002,-0.0156,1.001
1.888000,-0.0302,1.0000,-0.0163,1.001
1.890000,-0.0289,1.0015,-0.0168,1.002
1.891000,-0.0280,1.0027,-0.0172,1.003
1.894000,-0.0292,1.0041,-0.0160,1.005
1.895000,-0.0301,1.0056,-0.0155,1.006
1.899000,-0.0304,1.0062,-0.0155,1.007
1.900000,-0.0317,1.0056,-0.0157,1.006
1.902000,-0.0342,1.0045,-0.0160,1.005
1.904000,-0.0373,1.0041,-0.0156,1.005
1.906000,-0.0402,1.0036,-0.0160,1.005
1.907000,-0.0414,1.0026,-0.0171,1.004
1.909000,-0.0435,1.0018,-0.0184,1.003
1.911000,-0.0456,1.0011,-0.0189,1.002
1.913000,-0.0459,1.0005,-0.0197,1.002
1.916000,-0.0432,1.0003,-0.0203,1.001
1.918000,-0.0372,1.0004,-0.0210,1.001
1.920000,-0.0288,1.0002,-0.0208,1.001
1.922000,-0.0183,0.9998,-0.0205,1.000
1.926000,-0.0061,0.9995,-0.0196,1.000
1.926000,0.0057,0.9992,-0.0187,0.999
1.927000,0.0159,0.9981,-0.0181,0.998
1.929000,0.0225,0.9965,-0.0167,0.997
1.936000,0.0239,0.9946,-0.0153,0.995
1.937000,0.0224,0.9934,-0.0149,0.994
1.937000,0.0178,0.9932,-0.0149,0.993
1.938000,0.0100,0.9934,-0.0150,0.994
1.942000,0.0009,0.9940,-0.0159,0.994
1.942000,-0.0080,0.9944,-0.0166,0.995
1.945000,-0.0171,0.9947,-0.0173,0.995
1.947000,-0.0274,0.9962,-0.0185,0.997
1.948000,-0.0375,0.9977,-0.0233,0.999
1.950000,-0.0467,0.9988,-0.0283,1.000
1.953000,-0.0546,1.0005,-0.0322,1.003
1.954000,-0.0623,1.0020,-0.0356,1.005
1.956000,-0.0687,1.0029,-0.0388,1.006
1.958000,-0.0751,1.0029,-0.0397,1.006
1.960000,-0.0822,1.0038,-0.0398,1.008
1.962000,-0.0880,1.0037,-0.0396,1.008
1.964000,-0.0924,1.0035,-0.0399,1.008
1.967000,-0.0956,1.0039,-0.0399,1.009
1.968000,-0.0980,1.0036,-0.0405,1.009
1.970000,-0.0997,1.0038,-0.0417,1.010
1.972000,-0.1003,1.0029,-0.0426,1.009
1.974000,-0.0996,1.0023,-0.0436,1.008
1.975000,-0.0956,1.0014,-0.0449,1.007
1.978000,-0.0867,1.0008,-0.0447,1.006
1.979000,-0.0785,1.0000,-0.0440,1.004
1.984000,-0.0738,0.9997,-0.0429,1.003
1.984000,-0.0715,0.9992,-0.0411,1.003
1.986000,-0.0705,0.9987,-0.0401,1.002
1.988000,-0.0691,0.9987,-0.0378,1.002
1.990000,-0.0682,0.9993,-0.0357,1.002
1.992000,-0.0686,0.9996,-0.0335,1.003
1.993000,-0.0685,0.9999,-0.0313,1.003
1.995000,-0.0700,0.9999,-0.0290,1.003
1.999000,-0.0718,1.0002,-0.0272,1.003
2.000000,-0.0732,0.9988,-0.0244,1.002
2.002000,-0.0747,0.9978,-0.0218,1.001
2.004000,-0.0756,0.9973,-0.0193,1.000
2.006000,-0.0768,0.9979,-0.0168,1.001
2.008000,-0.0787,0.9967,-0.0144,1.000
2.009000,-0.0817,0.9968,0.0048,1.000
2.011000,-0.0844,0.9971,0.0067,1.001
2.013000,-0.0811,0.9985,0.0054,1.002
2.017000,-0.0805,1.0001,0.0134,1.003
2.019000,-0.0821,1.0023,0.0181,1.006
2.020000,-0.0844,1.0043,0.0144,1.008
2.021000,-0.0864,1.0056,0.0113,1.009
2.024000,-0.0858,1.0063,0.0126,1.010
2.025000,-0.0861,1.0064,0.0132,1.010
2.027000,-0.0862,1.0064,0.0104,1.010
2.029000,-0.0847,1.0069,0.0062,1.010
2.033000,-0.0819,1.0069,0.0051,1.010
2.034000,-0.0797,1.0065,0.0059,1.010
2.036000,-0.0775,1.0063,0.0048,1.009
2.039000,-0.0749,1.0071,0.0010,1.010
2.040000,-0.0714,1.0088,-0.0035,1.011
2.042000,-0.0676,1.0087,-0.0067,1.011
2.043000,-0.0637,1.0088,-0.0090,1.011
2.045000,-0.0592,1.0092,-0.0129,1.011
2.047000,-0.0549,1.0085,-0.0158,1.010
2.051000,-0.0494,1.0081,-0.0162,1.009
2.052000,-0.0446,1.0081,-0.0178,1.009
2.054000,-0.0380,1.0086,-0.0204,1.010
2.056000,-0.0322,1.0094,-0.0222,1.010
2.058000,-0.0254,1.0092,-0.0229,1.010
2.059000,-0.0166,1.0114,-0.0224,1.012
2.061000,-0.0083,1.0112,-0.0197,1.011
2.063000,-0.0047,1.0078,-0.0213,1.008
2.070000,-0.0030,1.0040,-0.0300,1.004
2.071000,-0.0034,1.0012,-0.0414,1.002
2.072000,-0.0087,0.9998,-0.0492,1.001
2.072000,-0.0187,0.9982,-0.0491,1.000
2.077000,-0.0368,0.9959,-0.0406,0.997
2.078000,-0.0590,0.9931,-0.0279,0.995
2.078000,-0.0810,0.9914,-0.0144,0.995
2.080000,-0.1024,0.9908,-0.0050,0.996
2.086000,-0.1237,0.9910,0.0018,0.999
2.087000,-0.1361,0.9929,0.0067,1.002
2.087000,-0.1386,0.9964,0.0085,1.006
2.088000,-0.1389,0.9990,0.0073,1.009
2.089000,-0.1379,1.0029,0.0042,1.012
2.092000,-0.1371,1.0045,0.0037,1.014
2.095000,-0.1354,1.0065,0.0065,1.016
2.095000,-0.1357,1.0069,0.0112,1.016
2.097000,-0.1367,1.0045,0.0161,1.014
2.100000,-0.1372,0.9998,0.0207,1.009
2.102000,-0.1384,0.9979,0.0263,1.008
2.103000,-0.1398,0.9963,0.0304,1.007
2.105000,-0.1405,0.9951,0.0305,1.005
2.108000,-0.1401,0.9947,0.0293,1.005
2.110000,-0.1382,0.9947,0.0243,1.005
2.111000,-0.1357,0.9964,0.0181,1.006
2.113000,-0.1311,0.9981,0.0114,1.007
2.117000,-0.1222,0.9996,0.0053,1.007
2.118000,-0.1113,1.0011,-0.0003,1.007
2.119000,-0.1001,1.0016,-0.0057,1.007
2.122000,-0.0887,1.0016,-0.0084,1.006
2.124000,-0.0771,1.0016,-0.0093,1.005
2.125000,-0.0657,1.0020,-0.0076,1.004
2.127000,-0.0562,1.0025,-0.0054,1.004
2.129000,-0.0479,1.0027,-0.0032,1.004
2.131000,-0.0404,1.0042,-0.0002,1.005
2.137000,-0.0348,1.0064,0.0026,1.007
2.138000,-0.0307,1.0093,0.0050,1.010
2.138000,-0.0296,1.0122,0.0065,1.013
2.140000,-0.0303,1.0148,0.0060,1.015
2.141000,-0.0318,1.0159,0.0052,1.016
2.143000,-0.0338,1.0159,0.0037,1.016
2.145000,-0.0356,1.0144,0.0013,1.015
2.147000,-0.0365,1.0132,-0.0011,1.014
2.151000,-0.0354,1.0126,-0.0029,1.013
2.152000,-0.0333,1.0113,-0.0046,1.012
2.154000,-0.0317,1.0104,-0.0055,1.011
2.155000,-0.0309,1.0094,-0.0067,1.010
2.158000,-0.0301,1.0081,-0.0076,1.009
2.159000,-0.0301,1.0070,-0.0086,1.008
2.161000,-0.0295,1.0055,-0.0112,1.006
2.163000,-0.0296,1.0035,-0.0135,1.004
2.167000,-0.0299,1.0019,-0.0168,1.003
2.168000,-0.0293,1.0006,-0.0210,1.001
2.170000,-0.0290,1.0002,-0.0243,1.001
2.172000,-0.0285,0.9987,-0.0266,0.999
2.174000,-0.0289,0.9971,-0.0288,0.998
2.176000,-0.0289,0.9966,-0.0316,0.998
2.177000,-0.0297,0.9960,-0.0338,0.997
2.179000,-0.0305,0.9943,-0.0343,0.995
2.182000,-0.0298,0.9911,-0.0352,0.992
2.185000,-0.0305,0.9882,-0.0364,0.989
2.186000,-0.0293,0.9868,-0.0364,0.988
2.188000,-0.0284,0.9845,-0.0362,0.986
2.190000,-0.0300,0.9823,-0.0365,0.983
2.191000,-0.0325,0.9798,-0.0364,0.981
2.193000,-0.0361,0.9779,-0.0357,0.979
2.195000,-0.0402,0.9779,-0.0349,0.979
2.197000,-0.0440,0.9781,-0.0328,0.980
2.200000,-0.0468,0.9802,-0.0300,0.982
2.202000,-0.0484,0.9838,-0.0270,0.985
2.204000,-0.0502,0.9880,-0.0236,0.990
2.205000,-0.0514,0.9916,-0.0194,0.993
2.208000,-0.0521,0.9949,-0.0136,0.996
2.209000,-0.0520,0.9981,-0.0076,1.000
2.211000,-0.0505,1.0019,-0.0043,1.003
2.214000,-0.0472,1.0061,-0.0013,1.007
2.215000,-0.0435,1.0098,0.0008,1.011
2.221000,-0.0402,1.0123,0.0021,1.013
2.222000,-0.0363,1.0132,0.0020,1.014
2.222000,-0.0348,1.0132,0.0011,1.014
2.224000,-0.0332,1.0115,-0.0010,1.012
2.226000,-0.0338,1.0094,-0.0042,1.010
2.229000,-0.0365,1.0074,-0.0068,1.008
2.230000,-0.0383,1.0065,-0.0074,1.007
2.232000,-0.0415,1.0037,-0.0085,1.005
2.236000,-0.0458,1.0020,-0.0096,1.003
2.238000,-0.0502,1.0008,-0.0108,1.002
2.238000,-0.0540,1.0004,-0.0117,1.002
2.241000,-0.0581,1.0013,-0.0121,1.003
2.242000,-0.0637,1.0022,-0.0131,1.004
2.244000,-0.0696,1.0030,-0.0127,1.005
2.246000,-0.0772,1.0039,-0.0121,1.007
2.247000,-0.0854,1.0045,-0.0110,1.008
2.251000,-0.0938,1.0046,-0.0095,1.009
2.254000,-0.1013,1.0049,-0.0091,1.010
2.254000,-0.1046,1.0059,-0.0086,1.011
2.256000,-0.0996,1.0072,-0.0092,1.012
2.257000,-0.0919,1.0075,-0.0098,1.012
2.260000,-0.0871,1.0082,-0.0097,1.012
2.261000,-0.0835,1.0074,-0.0102,1.011
2.263000,-0.0804,1.0065,-0.0102,1.010
2.266000,-0.0797,1.0067,-0.0089,1.010
