time,X_value,Y_value,Z_value
0.5946,0.04221,0.00930,-0.06446
0.5986,0.00780,-0.01460,-0.07267
0.6024,-0.02643,0.02584,-0.07011
0.6073,-0.02120,0.05525,-0.06513
0.6107,-0.03143,0.04759,-0.04352
0.6145,-0.06766,0.02810,-0.02794
0.6193,-0.06690,0.00878,-0.01011
0.6233,-0.04364,-0.02699,0.03354
0.6273,-0.06806,-0.04939,0.06481
0.6314,-0.08169,-0.05021,0.08024
0.6354,-0.06435,-0.05102,0.09902
0.6394,-0.03397,-0.08507,0.10801
0.6432,-0.03011,-0.09387,0.10244
0.6475,0.00458,-0.08358,0.10862
0.6516,0.03429,-0.08167,0.11101
0.6596,0.03412,-0.03940,0.11336
0.6596,0.05534,-0.02597,0.08113
0.6626,0.05854,-0.05541,0.04557
0.6668,0.06536,-0.05490,0.03750
0.6712,0.07679,-0.03777,0.04500
0.6751,0.09058,-0.01604,0.03106
0.6789,0.10545,0.01382,0.01498
0.6827,0.10351,0.01848,0.01212
0.6869,0.13114,-0.01016,0.02485
0.6920,0.12055,-0.01717,0.03384
0.7005,0.09103,-0.00276,0.04282
0.7005,0.08427,0.01035,0.06002
0.7189,0.07634,0.01030,0.06026
0.7191,0.05663,0.00313,0.06639
0.7191,0.05837,-0.00635,0.06169
0.7193,0.06253,-0.01337,0.05938
0.7249,0.06429,-0.02747,0.04289
0.7257,0.06126,-0.02838,0.03608
0.7286,0.03567,-0.02098,0.01745
0.7334,0.00445,-0.01127,0.00272
0.7364,0.01034,-0.00996,-0.00949
0.7424,0.02332,-0.00630,-0.01444
0.7453,0.00772,0.00447,-0.01694
0.7465,0.01246,-0.00625,-0.01933
0.7505,0.03264,-0.02757,-0.03823
0.7598,0.03606,-0.03566,-0.05929
0.7649,0.01796,-0.02823,-0.05881
0.7723,0.01431,-0.02681,-0.04169
0.7724,0.03563,-0.02065,-0.01883
0.7724,0.02118,-0.01690,-0.00456
0.7740,0.00330,-0.02505,-0.00837
0.7794,0.01517,-0.02363,-0.01451
0.7809,0.02097,-0.03647,-0.02063
0.7851,0.02433,-0.03496,-0.00650
0.7893,0.03486,-0.02513,0.00385
0.7934,0.05948,-0.03795,-0.00616
0.7972,0.10878,-0.04472,-0.01851
0.8011,0.11734,-0.05262,-0.01531
0.8048,0.10323,-0.05688,0.00917
0.8088,0.09042,-0.05160,0.02978
0.8134,0.02912,-0.03448,0.05963
0.8208,-0.04708,-0.00918,0.08445
0.8212,-0.09878,0.02065,0.09611
0.8330,-0.10842,0.01934,0.08161
0.8332,-0.11185,0.01090,0.04481
0.8332,-0.09850,-0.00224,0.00859
0.8368,-0.07918,0.00254,-0.02129
0.8414,-0.06013,0.01676,-0.05789
0.8453,-0.03045,0.03681,-0.07639
0.8491,-0.00463,0.07213,-0.07334
0.8531,0.00660,0.11667,-0.05973
0.8608,-0.00373,0.15014,-0.04497
0.8618,-0.02477,0.15245,-0.02208
0.8650,-0.04579,0.14050,0.00295
0.8688,-0.05240,0.11678,0.02172
0.8730,-0.02694,0.09681,0.03090
0.8770,0.01250,0.07463,0.04004
0.8837,0.04325,0.07400,0.04335
0.8857,0.05234,0.07100,0.04556
0.8947,0.05069,0.06563,0.03476
0.8947,0.04421,0.04605,0.02648
0.9001,0.01053,0.02781,0.01842
0.9023,-0.01569,-0.01047,-0.00372
0.9060,-0.03810,-0.04608,-0.02191
0.9108,-0.04960,-0.08377,-0.01741
0.9130,-0.04083,-0.12114,-0.00582
0.9170,-0.02856,-0.14395,0.01871
0.9218,-0.02235,-0.16774,0.03110
0.9251,-0.02801,-0.17471,0.04925
0.9293,-0.03961,-0.18398,0.07547
0.9337,-0.04395,-0.19079,0.09293
0.9401,-0.04232,-0.18091,0.10195
0.9417,-0.03115,-0.15922,0.10834
0.9476,-0.02478,-0.12702,0.10987
0.9506,-0.00664,-0.08795,0.12080
0.9531,-0.00409,-0.04920,0.13869
0.9697,-0.01462,0.00349,0.17057
0.9701,-0.01078,0.03674,0.18317
0.9703,0.00722,0.06140,0.18608
0.9704,0.02512,0.09535,0.18426
0.9732,0.02505,0.11952,0.17059
0.9796,0.02737,0.13398,0.14048
0.9810,0.05463,0.14118,0.08933
0.9855,0.06264,0.14594,0.05299
0.9888,0.04566,0.13877,0.03367
0.9927,0.04431,0.14353,-0.01620
0.9964,0.06079,0.13517,-0.05127
1.0010,0.06050,0.11975,-0.07523
1.0063,0.05534,0.11157,-0.09654
1.0093,0.05019,0.10345,-0.12340
1.0177,0.04874,0.09776,-0.13928
1.0211,0.04729,0.09211,-0.12877
1.0227,0.04580,0.06275,-0.12308
1.0282,0.04187,0.04787,-0.12560
1.0311,0.02612,0.02481,-0.11030
1.0343,0.02123,-0.00163,-0.10461
1.0377,-0.00036,-0.03497,-0.09547
1.0411,-0.01809,-0.08228,-0.08878
1.0445,-0.02491,-0.11732,-0.09763
1.0481,-0.02816,-0.13781,-0.10171
1.0524,-0.02778,-0.15812,-0.08558
