time,X_value,Y_value,Z_value
0.2820,-0.00479,-9.90770,-0.81446
0.2874,0.00719,-9.91728,-0.81446
0.2875,0.02156,-9.92207,-0.81207
0.2904,0.02875,-9.91728,-0.81686
0.2905,0.03593,-9.90770,-0.82644
0.2951,0.03833,-9.90770,-0.82884
0.2951,0.04072,-9.91728,-0.82884
0.3003,0.04072,-9.91728,-0.82644
0.3003,0.03833,-9.90770,-0.83602
0.3019,0.03354,-9.89572,-0.85519
0.3037,0.03114,-9.88854,-0.86716
0.3059,0.03114,-9.88135,-0.87435
0.3060,0.03114,-9.86458,-0.88393
0.3100,0.03354,-9.84781,-0.88872
0.3100,0.02875,-9.83104,-0.89112
0.3132,0.02156,-9.81428,-0.89351
0.3173,0.01677,-9.79511,-0.89112
0.3173,0.00958,-9.77834,-0.88633
0.3189,0.00000,-9.76397,-0.88154
0.3220,-0.00479,-9.74481,-0.87914
0.3221,-0.01437,-9.72804,-0.87435
0.3287,-0.01916,-9.72085,-0.85998
0.3287,-0.01677,-9.71606,-0.84321
0.3305,-0.01916,-9.71127,-0.83363
0.3305,-0.02635,-9.69929,-0.83123
0.3323,-0.04072,-9.68731,-0.82165
0.3336,-0.05270,-9.68252,-0.80488
0.3403,-0.06468,-9.68252,-0.78572
0.3404,-0.07186,-9.68971,-0.77134
0.3414,-0.07905,-9.69690,-0.76176
0.3429,-0.08624,-9.70169,-0.75697
0.3453,-0.09582,-9.71606,-0.75697
0.3466,-0.10540,-9.72804,-0.75937
0.3495,-0.11019,-9.73762,-0.76416
0.3505,-0.11498,-9.74960,-0.76416
0.3530,-0.11738,-9.76637,-0.77134
0.3562,-0.12696,-9.78553,-0.78093
0.3602,-0.13415,-9.79751,-0.78572
0.3603,-0.13415,-9.81667,-0.79051
0.3628,-0.13415,-9.84063,-0.79290
0.3630,-0.13415,-9.85260,-0.79530
0.3650,-0.13415,-9.85739,-0.79290
0.3676,-0.13654,-9.86458,-0.78811
0.3696,-0.14133,-9.87895,-0.78811
0.3708,-0.13415,-9.89093,-0.78811
0.3728,-0.12936,-9.90051,-0.79051
0.3799,-0.12456,-9.91009,-0.78811
0.3799,-0.11259,-9.92207,-0.78093
0.3799,-0.09821,-9.93165,-0.78093
0.3808,-0.08624,-9.93645,-0.78332
0.3828,-0.07905,-9.93165,-0.78332
0.3850,-0.07426,-9.93165,-0.78093
0.3870,-0.06947,-9.93884,-0.77374
0.3885,-0.05989,-9.94363,-0.77853
0.3904,-0.04791,-9.94842,-0.79051
0.3933,-0.03833,-9.94842,-0.79769
0.3954,-0.03593,-9.94842,-0.79769
0.3976,-0.02875,-9.94603,-0.80488
0.3982,-0.02156,-9.94363,-0.81686
0.4017,-0.01677,-9.94363,-0.82884
0.4027,-0.01437,-9.94124,-0.84560
0.4066,-0.00958,-9.92686,-0.85998
0.4066,-0.00719,-9.91009,-0.87195
0.4087,-0.00479,-9.89572,-0.88633
0.4103,-0.00719,-9.88374,-0.89830
0.4125,-0.01437,-9.87416,-0.90310
0.4153,-0.02156,-9.86219,-0.90070
0.4190,-0.02635,-9.85260,-0.90310
0.4190,-0.02875,-9.84302,-0.91028
0.4207,-0.03593,-9.82865,-0.91507
0.4242,-0.04551,-9.81188,-0.91507
0.4261,-0.05270,-9.79511,-0.90789
0.4261,-0.05031,-9.78074,-0.89591
0.4298,-0.05510,-9.77834,-0.89112
0.4309,-0.06228,-9.77834,-0.89112
0.4328,-0.06947,-9.76876,-0.88633
0.4350,-0.07426,-9.75918,-0.87435
0.4362,-0.07666,-9.74960,-0.86477
0.4396,-0.08863,-9.73522,-0.86237
0.4426,-0.10061,-9.72325,-0.85519
0.4427,-0.11019,-9.71606,-0.84081
0.4457,-0.11738,-9.70887,-0.82884
0.4458,-0.12456,-9.70408,-0.82165
0.4484,-0.12936,-9.70648,-0.81925
0.4522,-0.12936,-9.71367,-0.81207
0.4522,-0.13415,-9.71606,-0.79530
0.4546,-0.13175,-9.71846,-0.77614
0.4603,-0.12696,-9.72804,-0.76416
0.4603,-0.12696,-9.74481,-0.76416
0.4603,-0.12456,-9.75918,-0.76655
0.4617,-0.11498,-9.77116,-0.76416
0.4640,-0.10540,-9.78793,-0.75937
0.4648,-0.10061,-9.80709,-0.76416
0.4683,-0.09342,-9.83104,-0.76895
0.4700,-0.08384,-9.84542,-0.76655
0.4715,-0.07186,-9.85500,-0.76176
0.4729,-0.06707,-9.86458,-0.76176
0.4750,-0.05989,-9.87656,-0.75937
0.4766,-0.05749,-9.88854,-0.75458
0.4791,-0.05749,-9.89572,-0.74978
0.4807,-0.05989,-9.90051,-0.74978
0.4833,-0.06468,-9.90530,-0.75218
0.4897,-0.07186,-9.90530,-0.75218
0.4897,-0.07426,-9.90051,-0.75218
0.4897,-0.06707,-9.89572,-0.75458
0.4921,-0.05510,-9.89333,-0.75697
0.4933,-0.04791,-9.89093,-0.76416
0.5006,-0.05270,-9.88854,-0.77134
0.5006,-0.05270,-9.88135,-0.78572
0.5006,-0.04551,-9.86698,-0.80249
0.5007,-0.04312,-9.85500,-0.81446
0.5038,-0.04312,-9.83823,-0.81686
0.5100,-0.04791,-9.82386,-0.81446
0.5167,-0.05989,-9.81188,-0.81446
0.5167,-0.06947,-9.80709,-0.81686
0.5167,-0.07666,-9.80469,-0.81925
0.5167,-0.07905,-9.79751,-0.82165
0.5168,-0.08624,-9.79272,-0.81686
0.5168,-0.09342,-9.79511,-0.80967
0.5202,-0.09582,-9.79272,-0.80488
0.5211,-0.09342,-9.78553,-0.80009
0.5234,-0.08863,-9.78074,-0.79051
0.5242,-0.08624,-9.77834,-0.77374
0.5268,-0.09103,-9.77355,-0.75697
0.5282,-0.09103,-9.77355,-0.74739
0.5311,-0.09342,-9.78074,-0.74499
0.5363,-0.10301,-9.78313,-0.74978
0.5364,-0.10540,-9.78313,-0.75937
0.5425,-0.09342,-9.78793,-0.77374
0.5425,-0.08624,-9.79272,-0.78572
0.5425,-0.08145,-9.79511,-0.79530
0.5498,-0.08863,-9.80230,-0.78811
0.5498,-0.09821,-9.80709,-0.78093
0.5594,-0.09821,-9.81428,-0.78093
0.5596,-0.09103,-9.82146,-0.78332
0.5596,-0.08863,-9.82386,-0.78093
0.5597,-0.08863,-9.81667,-0.77374
0.5597,-0.08384,-9.81188,-0.76895
0.5598,-0.07905,-9.81907,-0.76895
0.5598,-0.07426,-9.82386,-0.76416
0.5614,-0.06468,-9.81907,-0.75937
0.5635,-0.05989,-9.81907,-0.75458
0.5650,-0.05270,-9.81907,-0.75458
0.5675,-0.04791,-9.82146,-0.75218
0.5767,-0.05031,-9.82625,-0.74978
0.5767,-0.05510,-9.82386,-0.75697
0.5767,-0.05989,-9.81907,-0.76655
0.5797,-0.05270,-9.81188,-0.77853
0.5797,-0.04312,-9.80230,-0.79051
0.5797,-0.04072,-9.79990,-0.80249
0.5803,-0.04312,-9.79511,-0.81925
0.5836,-0.03833,-9.78313,-0.83363
0.5845,-0.02635,-9.77355,-0.84800
0.5865,-0.01677,-9.77595,-0.86237
0.5880,-0.00958,-9.79751,-0.87914
0.5906,-0.00958,-9.82625,-0.89112
0.5920,-0.02875,-9.83823,-0.89591
0.5946,-0.05989,-9.83344,-0.89351
0.5958,-0.07905,-9.80709,-0.89351
0.5986,-0.07905,-9.78313,-0.89351
0.6004,-0.07426,-9.76876,-0.89351
0.6025,-0.07426,-9.76157,-0.88633
0.6045,-0.07905,-9.76637,-0.87435
0.6072,-0.09103,-9.77834,-0.86477
0.6093,-0.11019,-9.79032,-0.85758
0.6106,-0.13415,-9.79272,-0.85279
0.6122,-0.13415,-9.80230,-0.84560
0.6145,-0.11019,-9.81907,-0.83123
0.6196,-0.09582,-9.83823,-0.80728
0.6196,-0.10301,-9.85500,-0.78332
0.6208,-0.11738,-9.86698,-0.76895
0.6233,-0.13175,-9.87177,-0.75937
0.6246,-0.13894,-9.87177,-0.75218
0.6273,-0.13894,-9.86937,-0.74499
0.6287,-0.12936,-9.86698,-0.73302
0.6320,-0.11498,-9.87656,-0.72583
0.6339,-0.09582,-9.89812,-0.71864
0.6354,-0.08863,-9.91489,-0.72104
0.6366,-0.09103,-9.91968,-0.72583
0.6394,-0.08624,-9.91249,-0.72343
0.6407,-0.06468,-9.90770,-0.71864
0.6432,-0.04312,-9.90530,-0.71625
0.6449,-0.02875,-9.90530,-0.71864
0.6475,-0.01916,-9.90530,-0.70906
0.6489,-0.02395,-9.87656,-0.70667
0.6515,-0.02395,-9.85021,-0.71385
0.6528,-0.00719,-9.84302,-0.73062
0.6594,0.00240,-9.85739,-0.75218
0.6594,0.00240,-9.87656,-0.76895
0.6594,0.00000,-9.88374,-0.78332
0.6606,0.00240,-9.88374,-0.78572
0.6626,0.01437,-9.87656,-0.78093
0.6644,0.01916,-9.86698,-0.77374
0.6668,0.02156,-9.85979,-0.77614
0.6684,0.03114,-9.85021,-0.78332
0.6712,0.03833,-9.83344,-0.79290
0.6726,0.04791,-9.81667,-0.80249
0.6751,0.05270,-9.80709,-0.80488
0.6764,0.04551,-9.80230,-0.80728
0.6791,0.05270,-9.81188,-0.80488
0.6805,0.07426,-9.83104,-0.79769
0.6828,0.08145,-9.84063,-0.78811
0.6846,0.07426,-9.84542,-0.78572
0.6866,0.06228,-9.84063,-0.78093
0.6883,0.04551,-9.83344,-0.77853
0.6920,0.03354,-9.82386,-0.76895
0.6927,0.03354,-9.81667,-0.75697
0.7005,0.03354,-9.81428,-0.75458
0.7005,0.02875,-9.81428,-0.75458
0.7005,0.02395,-9.81667,-0.75458
0.7189,0.01198,-9.82146,-0.74739
0.7190,0.00240,-9.82386,-0.74739
0.7190,0.00479,-9.82865,-0.74978
0.7190,0.01437,-9.83583,-0.75218
0.7191,0.01437,-9.83583,-0.74978
0.7191,0.01437,-9.84302,-0.75458
0.7192,0.01437,-9.85260,-0.76416
0.7192,0.01916,-9.85500,-0.77134
0.7193,0.01677,-9.85500,-0.77374
0.7248,0.01198,-9.85500,-0.77374
0.7249,0.00000,-9.85260,-0.78572
0.7250,-0.02156,-9.84302,-0.79769
0.7257,-0.03833,-9.83823,-0.80249
0.7272,-0.04551,-9.83823,-0.80967
0.7332,-0.04072,-9.83823,-0.81686
0.7333,-0.03114,-9.83583,-0.81925
0.7334,-0.02156,-9.83583,-0.82165
0.7363,-0.02395,-9.83104,-0.82404
0.7404,-0.03354,-9.82386,-0.82644
0.7405,-0.04312,-9.82146,-0.82404
0.7425,-0.04072,-9.82865,-0.82404
0.7425,-0.02635,-9.83823,-0.83123
0.7453,-0.01437,-9.85021,-0.84081
0.7464,-0.01198,-9.85979,-0.85279
0.7480,-0.00958,-9.86458,-0.86477
0.7505,-0.00958,-9.86219,-0.87195
0.7521,-0.01916,-9.85739,-0.87195
0.7597,-0.03593,-9.85500,-0.86477
0.7600,-0.03593,-9.85500,-0.85519
0.7648,-0.02635,-9.85500,-0.84800
0.7723,-0.01198,-9.85021,-0.83602
0.7723,-0.00719,-9.84781,-0.82165
0.7724,-0.01677,-9.84302,-0.81446
0.7724,-0.03114,-9.84781,-0.81446
0.7724,-0.04072,-9.85260,-0.81686
0.7724,-0.04312,-9.85500,-0.81925
0.7724,-0.03354,-9.85260,-0.82165
0.7741,-0.02635,-9.85260,-0.82644
0.7794,-0.02395,-9.85979,-0.83123
0.7794,-0.02395,-9.87177,-0.82884
0.7794,-0.02156,-9.86937,-0.81925
0.7809,-0.01916,-9.85979,-0.81207
0.7829,-0.01198,-9.85260,-0.80728
0.7851,-0.00719,-9.85739,-0.80249
0.7868,0.00479,-9.86458,-0.80967
0.7894,0.02635,-9.87177,-0.81925
0.7908,0.05510,-9.87416,-0.82404
0.7934,0.07666,-9.87656,-0.82884
