time,X_value,Y_value,Z_value
0.294,0.00308,-0.00268,-0.00355
0.2945,0.00468,0.00052,-0.00674
0.2962,0.00308,-0.00161,-0.00408
0.3001,0.00521,-0.00161,-0.00834
0.3016,0.00308,0.00105,-0.00674
0.3039,0.00255,-0.00055,-0.00674
0.3057,0.00308,0.00052,-0.00355
0.3072,0.00681,0.00265,-0.00301
0.309,0.00415,0.00318,-0.00781
0.3114,0.00362,0.00424,-0.00834
0.3138,0.00095,0.00052,-0.00301
0.3157,0.00308,0.00052,-0.00568
0.3161,0.00362,0.00158,-0.00568
0.3201,0.00415,0.00265,-0.00195
0.3218,-0.00011,0.00904,0.00178
0.3236,-0.00544,0.00637,0.00178
0.3244,-0.01662,0.00531,0.00072
0.3284,-0.01822,0.00371,0.00072
0.3285,-0.01822,0.00637,-0.00301
0.3312,-0.01023,0.00691,-0.00408
0.3337,0.00521,0.00105,-0.00408
0.3409,0.00628,-0.00108,-0.00088
0.3409,0.01427,0.00265,-0.00088
0.3409,0.00947,0.00158,-0.00195
0.341,0.00681,0.00318,-0.00355
0.3427,0.00202,0.00265,-0.00514
0.3457,0.00042,0.00105,-0.00355
0.3465,-0.00278,0.00531,-0.00355
0.3481,-0.00331,0.00371,-0.00088
0.3509,-0.00331,0.00158,-0.00195
0.3532,-0.00011,0.00211,-0.00035
0.3543,0.00095,0.00158,-0.00035
0.3566,-0.00118,0.00478,-0.00141
0.3584,0.00148,0.00371,-0.00248
0.3602,0.00521,0.00478,-0.00301
0.3638,0.00308,0.00424,-0.00195
0.3639,0.00148,0.00478,0.00072
0.369,0.00095,0.00265,0.00125
0.3697,0.00255,0.00424,-0.00088
0.3751,0.00095,0.00318,-0.00248
0.3763,-0.00065,0.00318,0.00018
0.3769,-0.00118,0.00318,-0.00035
0.3769,-0.00065,0.00318,-0.00141
0.3791,-0.00011,0.00371,0.00072
0.3808,-0.00118,0.00052,0.00125
0.3819,0.00095,0.00371,-0.00248
0.3842,0.00148,0.00158,0.00018
0.3868,-0.00118,0.00158,0.00018
0.389,-0.00065,0.00052,-0.00088
0.3907,-0.00065,0.00158,0.00125
0.3917,0.00095,0.00105,-0.00088
0.3937,0.00148,0.00105,-0.00035
0.3968,0.00255,0.00211,-0.00035
0.3983,0.00148,0.00158,0.00072
0.4012,-0.00065,0.00211,0.00072
0.4031,-0.00278,0.00424,0.00072
0.4043,0.00148,0.00158,0.00178
0.4063,0.00362,0.00158,-0.00088
0.4088,0.00095,0.00158,-0.00141
0.4102,0.00042,0.00478,0.00125
0.4119,-0.00065,0.00105,-0.00141
0.4157,0.00202,0.00265,-0.00035
0.4157,-0.00118,0.00371,-0.00035
0.419,-0.00224,0.00265,0.00231
0.4209,-0.00011,0.00424,0.00125
0.423,0.00148,0.00052,-0.00141
0.4245,-0.00118,0.00318,0.00231
0.4277,-0.00118,0.00265,0.00338
0.4277,-0.00171,0.00318,0.00285
0.4322,-0.00491,0.00265,0.00338
0.4322,-0.00491,0.00318,0.00125
0.435,-0.00224,0.00318,-0.00035
0.4365,0.00042,0.00371,-0.00035
0.4396,0.00255,0.00265,0.00018
0.441,0.00415,-0.00055,0.00125
0.4432,0.00415,0.00211,0.00125
0.4446,0.00415,0.00105,-0.00248
0.4467,0.00468,0.00158,-0.00195
0.4477,0.00148,0.00265,0.00178
0.4503,0.00202,0.00211,0.00018
0.458,-0.00065,0.00265,0.00018
0.4581,0.00042,0.00265,0.00018
0.4581,-0.00171,0.00371,-0.00141
0.4581,0.00148,0.00158,0.00125
0.4615,0.00042,-2E-05,0.00072
0.4621,-0.00118,0.00105,0.00072
0.4633,0.00202,0.00531,-0.00141
0.4665,0.00095,0.00211,0.00178
0.4672,0.00202,0.00211,-0.00195
0.4698,0.00095,0.00265,0.00072
0.4715,0.00148,0.00265,0.00072
0.4732,0.00095,0.00105,-0.00035
0.4766,0.00148,0.00371,0.00072
0.4772,-0.00065,0.00105,0.00125
0.4794,0.00148,0.00211,0.00018
0.4821,-0.00011,0.00265,0.00018
0.4847,0.00095,0.00318,0.00178
0.4878,-0.00065,0.00105,0.00018
0.4913,-0.00011,0.00105,0.00072
0.4914,0.00095,0.00105,-0.00035
0.4925,-0.00118,-2E-05,0.00231
0.4941,-0.00011,0.00105,0.00178
0.4958,0.00308,-2E-05,0.00178
0.4971,0.00095,0.00158,0.00391
0.4992,-0.00011,0.00105,0.00338
0.5017,0.00042,0.00105,-0.00035
0.5034,-0.00065,-2E-05,0.00072
0.5051,-0.00011,-2E-05,0.00072
0.5069,0.00095,0.00211,0.00125
0.5094,-0.00011,-0.00321,0.00018
0.5112,0.00042,0.00265,0.00125
0.5146,-0.00065,0.00318,0.00018
0.5152,-0.00011,0.00105,0.00444
0.5181,0.00095,0.00052,0.00125
0.5208,0.00308,0.00158,0.00018
0.5218,0.00042,0.00052,0.00231
0.5233,-0.00118,0.00265,-0.00035
0.5255,0.00095,0.00158,-0.00035
0.5272,0.00095,0.00211,-0.00141
0.5298,0.00042,0.00211,0.00125
0.5312,0.00095,0.00265,-0.00088
0.5334,-0.00118,0.00158,0.00285
0.5355,-0.00011,0.00211,-0.00088
0.5373,0.00202,0.00318,-0.00195
0.5405,-0.00118,-0.00055,-0.00035
0.5423,-0.00011,-2E-05,-0.00141
0.5431,-0.00065,-0.00108,0.00072
0.5453,-0.00118,0.00318,0.00125
0.5493,-0.00065,0.00265,0.00072
0.5519,0.00042,0.00052,0.00018
0.5533,-0.00171,-2E-05,-0.00141
0.5537,0.00308,-0.00108,-0.00088
0.5554,0.00148,-2E-05,-0.00195
0.5572,0.00202,0.00105,-0.00141
0.5596,-0.00065,-0.00108,0.00178
0.5628,-0.00011,0.00265,0.00231
0.5642,0.00202,0.00105,-0.00088
