time,X_value,Y_value,Z_value
0.2850,0.01399,-0.00279,0.00785
0.2873,0.01399,-0.00172,0.00465
0.2895,0.01240,-0.00066,0.00518
0.2916,0.01453,0.00520,0.00678
0.2916,0.01399,0.00573,0.00518
0.2955,0.01186,0.00094,0.00465
0.2970,0.00760,0.00573,0.00572
0.2997,0.00760,0.00307,0.00518
0.2997,0.00814,0.00307,0.00305
0.3057,0.00707,0.00041,0.00305
0.3058,0.00334,0.00200,0.00359
0.3059,0.00281,0.00254,0.00199
0.3096,0.00547,0.00200,0.00199
0.3105,-0.00252,0.00627,0.00145
0.3134,-0.00305,0.00041,0.00305
0.3154,0.00121,-0.00013,0.00252
0.3155,-0.00198,0.00094,0.00092
0.3196,-0.00411,0.00147,0.00359
0.3196,-0.00625,-0.00013,0.00252
0.3268,-0.00411,0.00147,0.00145
0.3268,-0.00731,0.00094,0.00199
0.3268,-0.00625,-0.00172,0.00092
0.3316,-0.00784,-0.00119,0.00199
0.3316,-0.00731,-0.00172,0.00305
0.3317,-0.00838,-0.00332,0.00199
0.3365,-0.00731,-0.00332,0.00465
0.3365,-0.00358,-0.00332,0.00359
0.3400,-0.00571,-0.00652,0.00412
0.3401,-0.00625,-0.00705,0.00572
0.3432,-0.00625,-0.00492,0.00518
0.3442,-0.00518,-0.00599,0.00678
0.3479,-0.00838,-0.00652,0.00891
0.3497,-0.00731,-0.00812,0.00838
0.3517,-0.00891,-0.00599,0.00625
0.3518,-0.00518,-0.00332,0.00465
0.3571,-0.00838,-0.00652,0.00678
0.3573,-0.00678,-0.00652,0.00572
0.3604,-0.00944,-0.00758,0.00199
0.3604,-0.00891,-0.00439,0.00731
0.3636,-0.00625,-0.00492,0.00678
0.3636,-0.00731,-0.00492,0.00572
0.3668,-0.00571,-0.00652,0.00518
0.3683,-0.00784,-0.00226,0.00518
0.3707,-0.00465,-0.00226,0.00518
0.3729,-0.00678,-0.00226,0.00412
0.3750,-0.00571,0.00041,0.00518
0.3752,-0.00625,0.00041,0.00572
0.3792,-0.00518,-0.00013,0.00412
0.3792,-0.00358,0.00041,0.00412
0.3832,-0.00571,0.00041,0.00305
0.3834,-0.00252,0.00200,0.00199
0.3866,-0.00305,-0.00066,0.00305
0.3882,-0.00784,0.00147,0.00252
0.3906,-0.00518,-0.00066,0.00412
0.3924,-0.00145,-0.00439,0.00199
0.3950,-0.00465,-0.00013,0.00305
0.3950,-0.00465,-0.00119,0.00305
0.3996,-0.00358,-0.00279,0.00359
0.3997,-0.00411,-0.00226,0.00145
0.4028,-0.00465,-0.00439,0.00359
0.4042,-0.00358,-0.00385,-0.00014
0.4064,-0.00784,-0.00226,0.00252
0.4086,-0.00731,-0.00226,0.00252
0.4119,-0.01264,-0.00385,-0.00014
0.4119,-0.01583,-0.00652,0.00199
0.4154,-0.01423,-0.00492,0.00092
0.4154,-0.01903,-0.00172,0.00039
0.4183,-0.01850,-0.00439,-0.00014
0.4201,-0.02063,-0.00172,0.00199
0.4237,-0.02169,-0.00439,0.00199
0.4237,-0.02063,-0.00279,0.00039
0.4271,-0.02595,-0.00599,-0.00227
0.4271,-0.02595,-0.00439,-0.00440
0.4307,-0.02915,-0.00492,-0.00281
0.4308,-0.02542,-0.00545,-0.00281
0.4342,-0.02808,-0.00705,-0.00227
0.4415,-0.03128,-0.00599,-0.00227
0.4415,-0.03607,-0.00971,-0.00440
0.4416,-0.03501,-0.00918,-0.00227
0.4416,-0.03714,-0.00918,-0.00281
0.4440,-0.04246,-0.00971,-0.00174
0.4472,-0.04087,-0.01131,-0.00227
0.4487,-0.04246,-0.01344,-0.00174
0.4503,-0.04087,-0.01397,-0.00494
0.4511,-0.04406,-0.01184,-0.00707
0.4535,-0.04353,-0.01397,-0.00281
0.4564,-0.04779,-0.01344,-0.00653
0.4602,-0.04939,-0.01238,-0.00334
0.4602,-0.04939,-0.01344,-0.00600
0.4629,-0.05099,-0.01184,-0.00440
0.4629,-0.04992,-0.01451,-0.00707
0.4666,-0.05099,-0.01397,-0.00440
0.4666,-0.05365,-0.01717,-0.00440
0.4708,-0.05205,-0.01397,-0.00867
0.4737,-0.05312,-0.01504,-0.00760
0.4757,-0.05045,-0.01344,-0.00547
0.4757,-0.05099,-0.01291,-0.00653
0.4787,-0.04673,-0.01184,-0.00653
0.4787,-0.04779,-0.01025,-0.00867
0.4828,-0.04619,-0.00812,-0.00600
0.4828,-0.04406,-0.00918,-0.01080
0.4856,-0.04033,-0.00812,-0.01026
0.4872,-0.04033,-0.00545,-0.01133
0.4896,-0.03927,-0.00439,-0.01026
0.4919,-0.03874,-0.00439,-0.00973
0.4948,-0.03767,-0.00332,-0.00813
0.4948,-0.03501,-0.00492,-0.00867
0.4991,-0.03394,-0.00226,-0.00867
0.4992,-0.03394,-0.00066,-0.00867
0.5018,-0.03288,-0.00119,-0.00867
0.5026,-0.02755,-0.00013,-0.00707
0.5113,-0.02968,-0.00066,-0.00813
0.5113,-0.02915,-0.00279,-0.00813
0.5114,-0.02489,0.00094,-0.00867
0.5114,-0.02489,0.00094,-0.00547
0.5141,-0.02063,-0.00013,-0.00813
0.5147,-0.01850,0.00307,-0.00440
0.5183,-0.01743,-0.00385,-0.00387
0.5187,-0.01583,-0.00332,-0.00387
0.5216,-0.01530,-0.00279,-0.00068
0.5226,-0.01104,-0.00279,-0.00281
0.5250,-0.00944,-0.00439,-0.00068
0.5265,-0.00678,-0.00439,0.00145
0.5311,-0.00625,-0.00918,0.00305
0.5311,-0.00731,-0.00812,0.00465
0.5334,-0.00411,-0.01770,0.00518
0.5354,-0.00092,-0.01717,0.00731
0.5367,0.00068,-0.01770,0.00572
0.5386,-0.00305,-0.01983,0.00891
0.5408,-0.00039,-0.01824,0.00572
0.5424,0.00068,-0.02143,0.00678
0.5450,0.00228,-0.02250,0.01104
0.5466,0.00281,-0.02303,0.01051
0.5505,0.00441,-0.02250,0.01104
0.5510,0.00707,-0.02569,0.01104
0.5536,0.00654,-0.02676,0.01157
0.5575,0.00867,-0.02463,0.01211
0.5575,0.00707,-0.02782,0.01104
0.5595,0.00920,-0.02676,0.01211
0.5611,0.01293,-0.03049,0.00891
0.5622,0.01186,-0.02729,0.01211
0.5649,0.01346,-0.02729,0.00891
0.5692,0.01453,-0.02463,0.01371
0.5702,0.01666,-0.02729,0.01157
0.5906,0.01719,-0.02889,0.01104
0.5906,0.01932,-0.02623,0.00785
0.5907,0.01932,-0.02250,0.00731
0.5907,0.01879,-0.02090,0.00785
0.5907,0.02198,-0.02250,0.00678
0.5908,0.02092,-0.02356,0.01051
0.5908,0.02145,-0.02143,0.00838
0.5909,0.01932,-0.02250,0.00838
0.5909,0.02039,-0.02356,0.00891
0.5909,0.01985,-0.02463,0.00785
0.5910,0.02305,-0.02623,0.00838
0.6026,0.02039,-0.02676,0.00838
0.6026,0.02092,-0.02569,0.00785
0.6027,0.02358,-0.02676,0.00785
0.6027,0.02305,-0.02889,0.00518
0.6027,0.02358,-0.02889,0.00518
0.6044,0.02039,-0.03102,0.00678
0.6047,0.02252,-0.03368,0.00572
0.6057,0.02092,-0.03368,0.00572
0.6088,0.02198,-0.03581,0.00412
0.6095,0.02092,-0.03688,0.00572
0.6119,0.02411,-0.03155,0.00305
0.6134,0.02145,-0.02516,0.00518
0.6165,0.02092,-0.02782,0.00465
0.6205,0.01613,-0.03208,0.00412
0.6232,0.01826,-0.02623,0.00145
0.6232,0.01879,-0.01983,-0.00281
0.6247,0.01559,-0.02303,-0.00174
0.6257,0.00867,-0.02676,-0.00014
0.6279,0.00547,-0.03155,-0.00334
0.6294,0.00601,-0.03368,0.00039
0.6325,-0.00092,-0.03688,-0.00121
0.6334,-0.00411,-0.04007,-0.00494
0.6367,-0.00571,-0.04061,-0.00174
0.6402,-0.00784,-0.04700,-0.00547
0.6413,-0.01210,-0.04753,-0.00387
0.6417,-0.01477,-0.05019,-0.00547
0.6445,-0.02169,-0.04966,-0.00707
0.6456,-0.02116,-0.05286,-0.00653
0.6485,-0.02702,-0.05232,-0.00760
0.6498,-0.02542,-0.04806,-0.01080
0.6523,-0.02542,-0.05286,-0.01239
0.6533,-0.02968,-0.05179,-0.01452
0.6565,-0.03394,-0.05499,-0.01133
0.6580,-0.03341,-0.05712,-0.01293
0.6602,-0.03607,-0.05872,-0.01133
0.6615,-0.04246,-0.05552,-0.01452
0.6637,-0.04140,-0.05126,-0.01186
0.6659,-0.04033,-0.05126,-0.01026
0.6684,-0.03874,-0.04380,-0.00813
0.6696,-0.03714,-0.03688,-0.00600
0.6731,-0.03767,-0.03049,-0.00920
0.6736,-0.03288,-0.01983,-0.01293
0.6780,-0.02435,0.00840,-0.02145
0.6780,-0.00571,0.04994,-0.02571
0.6799,-0.01157,0.04621,-0.03636
0.6851,-0.01850,0.00946,-0.03689
0.6852,-0.02435,-0.05339,-0.03157
0.7069,-0.02276,-0.07363,-0.02571
0.7070,-0.01637,-0.06138,-0.01879
0.7071,-0.00944,-0.03635,-0.01825
0.7071,-0.01051,-0.02196,-0.01772
0.7072,-0.01956,-0.02409,-0.01665
0.7074,-0.02382,-0.03155,-0.00973
0.7074,-0.02808,-0.03315,-0.00813
0.7075,-0.02862,-0.03049,-0.00121
0.7076,-0.03021,-0.01717,0.00092
0.7076,-0.02808,-0.00758,0.00199
0.7077,-0.02915,-0.00279,0.00145
0.7180,-0.03234,-0.00013,0.00252
0.7200,-0.03767,-0.00066,0.00092
0.7200,-0.03767,-0.00226,0.00039
0.7200,-0.03607,0.00254,0.00465
0.7200,-0.03661,0.00840,0.00199
0.7201,-0.03661,0.01372,0.00252
0.7212,-0.03341,0.01639,0.00412
0.7217,-0.03181,0.01266,0.00359
0.7236,-0.02808,0.01266,0.00145
0.7253,-0.02382,0.01798,0.00199
0.7272,-0.02222,0.02384,-0.00281
0.7290,-0.02595,0.02118,-0.00281
0.7324,-0.01796,0.01479,-0.00440
0.7329,-0.02009,-0.00119,-0.00334
0.7354,-0.01956,-0.00599,-0.00281
0.7374,-0.01317,-0.01131,-0.00760
0.7420,-0.01317,-0.01451,-0.00707
0.7429,-0.00838,-0.02143,-0.00760
0.7454,-0.00891,-0.02303,-0.00760
0.7455,-0.00784,-0.02942,-0.01026
0.7470,-0.00731,-0.02889,-0.01186
0.7488,-0.00358,-0.02836,-0.01239
0.7516,-0.00092,-0.03049,-0.01452
0.7526,-0.00252,-0.02836,-0.01879
0.7559,0.00281,-0.02995,-0.02038
0.7567,-0.00039,-0.03475,-0.02251
0.7590,0.00015,-0.03262,-0.02464
0.7605,0.00121,-0.03102,-0.03050
0.7636,0.00068,-0.02836,-0.02997
0.7652,0.00121,-0.02889,-0.03530
0.7672,-0.00145,-0.02676,-0.03743
0.7695,0.00068,-0.02729,-0.03849
0.7711,-0.00092,-0.02356,-0.04116
0.7725,-0.00092,-0.02463,-0.04595
0.7766,-0.00571,-0.02143,-0.04648
0.7769,-0.00625,-0.02196,-0.04915
0.7805,-0.00784,-0.01983,-0.05341
0.7815,-0.00784,-0.01717,-0.05607
0.7833,-0.00411,-0.01557,-0.05927
0.7847,-0.00784,-0.01770,-0.06193
0.7876,-0.00997,-0.01557,-0.06353
0.7888,-0.00838,-0.01291,-0.06512
0.7922,-0.00891,-0.00971,-0.07045
0.7926,-0.00731,-0.00758,-0.07311
0.7966,-0.00625,-0.00705,-0.07631
0.7970,-0.00198,-0.00599,-0.08110
0.7996,-0.00305,-0.00812,-0.08377
0.8008,0.00174,-0.00545,-0.08856
0.8030,0.00281,-0.00439,-0.09176
0.8048,0.00281,-0.00279,-0.09708
0.8130,0.00654,-0.00172,-0.09815
0.8132,0.00867,-0.00013,-0.10347
0.8132,0.01133,0.00094,-0.10560
0.8133,0.01719,-0.00066,-0.10773
0.8184,0.01719,-0.00119,-0.10827
0.8186,0.01932,-0.00119,-0.11306
0.8196,0.02518,-0.00279,-0.11466
0.8498,0.02784,-0.00279,-0.11839
0.8498,0.02678,-0.00918,-0.11945
0.8499,0.02944,-0.01025,-0.11785
0.8499,0.03210,-0.01078,-0.12158
0.8500,0.03104,-0.01664,-0.12105
0.8500,0.03477,-0.01877,-0.12531
0.8500,0.03477,-0.02143,-0.12797
0.8501,0.03796,-0.02196,-0.12584
0.8501,0.04702,-0.01025,-0.12638
0.8501,0.04542,0.00254,-0.13011
0.8501,0.04755,0.00627,-0.13117
0.8502,0.05234,0.00946,-0.13916
0.8502,0.05181,0.01053,-0.14289
0.8502,0.05820,0.01958,-0.14395
0.8502,0.05927,0.02917,-0.14715
0.8504,0.06300,0.03449,-0.15035
0.8520,0.06406,0.04142,-0.14981
0.8551,0.06779,0.03929,-0.14875
0.8559,0.07365,0.04781,-0.15141
0.8601,0.07525,0.05740,-0.15407
0.8602,0.08377,0.07551,-0.15248
