time,ax,ay,az
2021-03-04 17:29:04.3130,0.2,-0.58,0.02
2021-03-04 17:29:04.3230,-0.32,-0.47,0.06
2021-03-04 17:29:04.3330,-0.68,-0.18,0.09
2021-03-04 17:29:04.3430,-0.81,0.06,0.27
2021-03-04 17:29:04.3540,-0.83,0.18,0.36
2021-03-04 17:29:04.3630,-0.8,0.23,0.37
2021-03-04 17:29:04.3740,-0.67,0.22,0.27
2021-03-04 17:29:04.3910,-0.64,0.31,0.22
2021-03-04 17:29:04.3930,-0.61,0.37,0.18
2021-03-04 17:29:04.4020,-0.65,0.29,0.12
2021-03-04 17:29:04.4130,-0.62,0.09,0.06
2021-03-04 17:29:04.4230,-0.59,-0.13,0.04
2021-03-04 17:29:04.4330,-0.58,-0.29,0.03
2021-03-04 17:29:04.4420,-0.52,-0.35,0.09
2021-03-04 17:29:04.4530,-0.42,-0.24,0.19
2021-03-04 17:29:04.4620,-0.23,-0.07,0.19
2021-03-04 17:29:04.4730,0.04,0.1,0.01
2021-03-04 17:29:04.4910,0.24,0.25,-0.25
2021-03-04 17:29:04.4930,0.37,0.39,-0.45
2021-03-04 17:29:04.5020,0.45,0.45,-0.56
2021-03-04 17:29:04.5120,0.54,0.34,-0.58
2021-03-04 17:29:04.5220,0.6,0.13,-0.52
2021-03-04 17:29:04.5320,0.63,-0.08,-0.43
2021-03-04 17:29:04.5420,0.61,-0.25,-0.38
2021-03-04 17:29:04.5520,0.56,-0.39,-0.36
2021-03-04 17:29:04.5620,0.48,-0.39,-0.32
2021-03-04 17:29:04.5720,0.32,-0.26,-0.25
2021-03-04 17:29:04.5890,0.11,-0.08,-0.2
2021-03-04 17:29:04.5910,-0.07,0.16,-0.16
2021-03-04 17:29:04.6010,-0.18,0.41,-0.17
2021-03-04 17:29:04.6110,-0.21,0.57,-0.23
2021-03-04 17:29:04.6210,-0.19,0.64,-0.3
2021-03-04 17:29:04.6310,-0.18,0.67,-0.32
2021-03-04 17:29:04.6410,-0.14,0.56,-0.29
2021-03-04 17:29:04.6520,-0.17,0.37,-0.19
2021-03-04 17:29:04.6610,-0.17,0.1,-0.11
2021-03-04 17:29:04.6720,-0.07,-0.11,0.07
2021-03-04 17:29:04.6920,0.02,-0.2,0.21
2021-03-04 17:29:04.6940,0.09,-0.27,0.18
2021-03-04 17:29:04.7000,0.13,-0.25,0.07
2021-03-04 17:29:04.7110,0.14,-0.2,-0.06
2021-03-04 17:29:04.7210,0.15,-0.15,-0.12
2021-03-04 17:29:04.7300,0.16,-0.11,-0.12
2021-03-04 17:29:04.7400,0.16,-0.06,-0.08
2021-03-04 17:29:04.7520,0.15,0,-0.05
